,ctrlength,tempres,category,match,start_dt,stop_dt,SNR,SNR_refined,signal_dB,signal_dB_refined,activation_state,fishing_net,behaviour,group_size,category_remap
9381.json,1.28242344956796,0.009864795765907,92,99.5807209312189,2020-07-17 09:18:10.559171851,2020-07-17 09:18:11.841595300,18.5105464650977,27.3489283449161,-42.12423,-33.265057,BEF+DUR,Present,Milling,10,63
9382.json,1.31702869373461,0.009902471381463,92,99.5343763642509,2020-07-17 09:18:01.913876429,2020-07-17 09:18:03.230905122,29.2934406119657,36.0439089464854,-39.480415,-32.6943,BEF+DUR,Present,Milling,10,63
9407.json,1.64130254709389,0.009887364741529,93,99.0060682113306,2020-07-17 08:43:48.682414672,2020-07-17 08:43:50.323717219,27.5196030070481,32.0650992717558,-43.33994,-38.79629,DUR,Present,Travelling,20,4
9408.json,1.19488293023731,0.009875065539151,94,97.7912061519278,2020-07-17 08:43:29.074851732,2020-07-17 08:43:30.269734662,20.9252411651611,23.4962926737467,-55.48351,-52.912457,DUR,Present,Travelling,20,30
9409.json,1.41354511532381,0.00988493087639,93,99.3142878637516,2020-07-17 08:43:43.722972802,2020-07-17 08:43:45.136517917,26.5104683008087,30.4778394270479,-45.45519,-41.48782,DUR,Present,Travelling,20,4
9410.json,1.60987827066667,0.0099375201893,93,99.1523742913117,2020-07-17 08:43:03.009213778,2020-07-17 08:43:04.619092049,33.8306261289238,39.1811480097251,-37.016174,-31.61756,DUR,Present,Travelling,20,4
9411.json,1.0949624064544,0.009864526184274,94,97.7604572947237,2020-07-17 08:43:27.091706892,2020-07-17 08:43:28.186669298,19.4387439783069,20.5247789189435,-53.97484,-52.90929,DUR,Present,Travelling,20,30
9414.json,1.28154572953561,0.009858044073351,93,99.4014812307701,2020-07-17 08:43:52.955286671,2020-07-17 08:43:54.236832400,25.1896011211254,29.6562329869211,-41.49636,-37.029724,DUR,Present,Travelling,20,4
9415.json,1.55891681954252,0.009929406493901,93,99.3798694142271,2020-07-17 08:43:58.169603936,2020-07-17 08:43:59.728520755,27.713915085306,33.7960123334612,-47.91956,-41.812653,DUR,Present,Travelling,20,4
9417.json,1.10328911676964,0.009850795685443,94,97.3690435094997,2020-07-17 08:43:27.449755435,2020-07-17 08:43:28.553044552,26.3597381921123,28.4554641229643,-48.204346,-46.092007,DUR,Present,Travelling,20,30
9420.json,1.01183549845824,0.009823645616099,94,99.0087651766476,2020-07-17 08:43:30.125338585,2020-07-17 08:43:31.137174084,36.4889631122351,39.6404839903116,-38.9245,-35.77298,DUR,Present,Travelling,20,30
9423.json,1.01524182058042,0.009856716704664,94,98.5395954149289,2020-07-17 08:43:26.549082936,2020-07-17 08:43:27.564324757,27.8274594843388,30.2534000277519,-46.823036,-44.285828,DUR,Present,Travelling,20,30
9428.json,1.58053046043155,0.009878315377697,93,98.960189908324,2020-07-17 08:43:50.994045931,2020-07-17 08:43:52.574576391,24.5090998932345,30.900184477993,-48.04324,-41.638245,DUR,Present,Travelling,20,4
9429.json,1.46596061476748,0.009905139288969,93,99.0140795664833,2020-07-17 08:43:49.025003630,2020-07-17 08:43:50.490964245,18.8411494130674,23.3822284159453,-51.49501,-46.9772,DUR,Present,Travelling,20,4
9431.json,1.39455393867096,0.009890453465751,93,99.2461864654428,2020-07-17 08:43:40.237496781,2020-07-17 08:43:41.632050720,26.8237043944272,31.7932250824842,-46.174026,-41.200157,DUR,Present,Travelling,20,4
9437.json,1.03124154946762,0.009821348090168,92,99.1546690043047,2020-07-17 08:43:44.743159777,2020-07-17 08:43:45.774401327,13.6158557598407,18.6956109853891,-58.658436,-53.497063,DUR,Present,Travelling,20,63
9442.json,1.41828709884008,0.00991809160028,93,99.5728662191876,2020-07-17 08:43:49.930800433,2020-07-17 08:43:51.349087532,24.1033606582813,29.2214527344436,-49.101616,-43.98109,DUR,Present,Travelling,20,4
